year,season,trimester,phase,Nino
1991,FMA,3,Neutral,0
1991,MAM,4,Neutral,0
1991,AMJ,5,Neutral,0
1991,MJJ,6,Nino,1
1991,JJA,7,Nino,1
1991,JAS,8,Nino,1
1991,ASO,9,Nino,1
1991,SON,10,Nino,1
1991,OND,11,Nino,1
1991,NDJ,12,Nino,1
1992,DJF,1,Nino,1
1992,JFM,2,Nino,1
1992,FMA,3,Nino,1
1992,MAM,4,Nino,1
1992,AMJ,5,Nino,1
1992,MJJ,6,Nino,1
1992,JJA,7,Neutral,0
1992,JAS,8,Neutral,0
1992,ASO,9,Neutral,0
1992,SON,10,Neutral,0
1992,OND,11,Neutral,0
1992,NDJ,12,Neutral,0
1993,DJF,1,Neutral,0
1993,JFM,2,Neutral,0
1993,FMA,3,Neutral,0
1993,MAM,4,Neutral,0
1993,AMJ,5,Neutral,0
1993,MJJ,6,Neutral,0
1993,JJA,7,Neutral,0
1993,JAS,8,Neutral,0
1993,ASO,9,Neutral,0
1993,SON,10,Neutral,0
1993,OND,11,Neutral,0
1993,NDJ,12,Neutral,0
1994,DJF,1,Neutral,0
1994,JFM,2,Neutral,0
1994,FMA,3,Neutral,0
1994,MAM,4,Neutral,0
1994,AMJ,5,Neutral,0
1994,MJJ,6,Neutral,0
1994,JJA,7,Neutral,0
1994,JAS,8,Neutral,0
1994,ASO,9,Nino,1
1994,SON,10,Nino,1
1994,OND,11,Nino,1
1994,NDJ,12,Nino,1
1995,DJF,1,Nino,1
1995,JFM,2,Nino,1
1995,FMA,3,Nino,1
1995,MAM,4,Neutral,0
1995,AMJ,5,Neutral,0
1995,MJJ,6,Neutral,0
1995,JJA,7,Neutral,0
1995,JAS,8,Nina,-1
1995,ASO,9,Nina,-1
1995,SON,10,Nina,-1
1995,OND,11,Nina,-1
1995,NDJ,12,Nina,-1
1996,DJF,1,Nina,-1
1996,JFM,2,Nina,-1
1996,FMA,3,Nina,-1
1996,MAM,4,Neutral,0
1996,AMJ,5,Neutral,0
1996,MJJ,6,Neutral,0
1996,JJA,7,Neutral,0
1996,JAS,8,Neutral,0
1996,ASO,9,Neutral,0
1996,SON,10,Neutral,0
1996,OND,11,Neutral,0
1996,NDJ,12,Neutral,0
1997,DJF,1,Neutral,0
1997,JFM,2,Neutral,0
1997,FMA,3,Neutral,0
1997,MAM,4,Neutral,0
1997,AMJ,5,Nino,1
1997,MJJ,6,Nino,1
1997,JJA,7,Nino,1
1997,JAS,8,Nino,1
1997,ASO,9,Nino,1
1997,SON,10,Nino,1
1997,OND,11,Nino,1
1997,NDJ,12,Nino,1
1998,DJF,1,Nino,1
1998,JFM,2,Nino,1
1998,FMA,3,Nino,1
1998,MAM,4,Nino,1
1998,AMJ,5,Neutral,0
1998,MJJ,6,Neutral,0
1998,JJA,7,Nina,-1
1998,JAS,8,Nina,-1
1998,ASO,9,Nina,-1
1998,SON,10,Nina,-1
1998,OND,11,Nina,-1
1998,NDJ,12,Nina,-1
1999,DJF,1,Nina,-1
1999,JFM,2,Nina,-1
1999,FMA,3,Nina,-1
1999,MAM,4,Nina,-1
1999,AMJ,5,Nina,-1
1999,MJJ,6,Nina,-1
1999,JJA,7,Nina,-1
1999,JAS,8,Nina,-1
1999,ASO,9,Nina,-1
1999,SON,10,Nina,-1
1999,OND,11,Nina,-1
1999,NDJ,12,Nina,-1
2000,DJF,1,Nina,-1
2000,JFM,2,Nina,-1
2000,FMA,3,Nina,-1
2000,MAM,4,Nina,-1
2000,AMJ,5,Nina,-1
2000,MJJ,6,Nina,-1
2000,JJA,7,Nina,-1
2000,JAS,8,Nina,-1
2000,ASO,9,Nina,-1
2000,SON,10,Nina,-1
2000,OND,11,Nina,-1
2000,NDJ,12,Nina,-1
2001,DJF,1,Nina,-1
2001,JFM,2,Nina,-1
2001,FMA,3,Neutral,0
2001,MAM,4,Neutral,0
2001,AMJ,5,Neutral,0
2001,MJJ,6,Neutral,0
2001,JJA,7,Neutral,0
2001,JAS,8,Neutral,0
2001,ASO,9,Neutral,0
2001,SON,10,Neutral,0
2001,OND,11,Neutral,0
2001,NDJ,12,Neutral,0
2002,DJF,1,Neutral,0
2002,JFM,2,Neutral,0
2002,FMA,3,Neutral,0
2002,MAM,4,Neutral,0
2002,AMJ,5,Neutral,0
2002,MJJ,6,Nino,1
2002,JJA,7,Nino,1
