"cuenca";"sistema_hídrico";"superficie_en_km2";"balance_hídrico_anual_medio_en_mm"
"Cuenca propia del rio Parana hasta Confluencia";"Rio Parana";"2117.43";"698.503.692.075.121"
"Delta del Parana";"Rio Parana";"22677.46";"183.595.007.599.792"
"Parte argentina de la cuenca del rio Iguazu";"Rio Parana";"1766.11";"11.806.571.529.246"
"Zona sin rios ni arroyos de importancia en Salta, Chaco, Santa Fe y Santiago del Estero";"Rio Parana";"98309.65";"-245.732.245.094.541"
"Cuenca de arroyos menores de Entre Rios afluentes del rio Uruguay";"Rio Uruguay";"9586.67";"283.849.698.887.269"
"Cuenca del rio Aguapey";"Rio Uruguay";"8072.95";"788.734.373.586.612"
"Cuenca del rio Gualeguaychu";"Rio Uruguay";"7262.1";"238.231.385.364.603"
"Cuenca del rio Miriñay";"Rio Uruguay";"12936.11";"557.204.074.981.143"
"Cuenca del rio Mocoreta";"Rio Uruguay";"3693.71";"423.683.347.323.562"
"Cuenca propia del rio Pepiri-Guazu en Argentina";"Rio Uruguay";"709.38";"148.074.969.559.924"
"Cuenca propia del rio Uruguay en Argentina";"Rio Uruguay";"2975.75";"509.636.226.054.403"
"Cuencas de arroyos de Misiones afluentes del rio Uruguay";"Rio Uruguay";"11813.79";"115.265.943.256.075"
"Cuencas de arroyos menores de Corrientes afluentes del rio Uruguay";"Rio Uruguay";"1214.6";"466.749.041.957.355"
"Cuencas menores de Corrientes afluentes del rio Uruguay";"Rio Uruguay";"6587.26";"732.359.556.245.122"
"Cuenca de los rios Gallegos y Chico";"Rios Patagonicos";"9449.71";"-199.668.895.147.431"
"Cuenca de los rios Senguerr y Chico";"Rios Patagonicos";"60743.84";"-406.745.869.183.221"
"Cuenca del rio Chico";"Rios Patagonicos";"25495.14";"-324.418.406.098.895"
"Cuenca del rio Chubut";"Rios Patagonicos";"52971.25";"-396.429.261.008.407"
"Cuenca del rio Coile o Coig";"Rios Patagonicos";"20596.76";"-312.002.933.351.238"
"Cuenca del rio Deseado";"Rios Patagonicos";"32073.02";"-409.378.412.813.447"
"Cuenca del rio Limay ";"Rios Patagonicos";"60516.13";"-909.170.989.247.199"
"Cuenca del Rio Negro";"Rios Patagonicos";"20053.32";"-45.383.362.494.963"
"Cuenca del rio Neuquen";"Rios Patagonicos";"49706.66";"-293.846.445.901.639"
"Cuenca del rio Santa Cruz";"Rios Patagonicos";"29348.64";"-66.644.140.087.291"
"Cuencas varias de Tierra del Fuego";"Rios Patagonicos";"17496.3";"832.243.205.326.479"
"Rios y arroyos menores con vertiente atlántica entre el sudoeste de Buenos Aires y el rio Chubut";"Rios Patagonicos";"109452.58";"-343.247.723.350.768"
"Zona de rios y arroyos menores con vertiente atlantica del sudeste de Chubut y este de Santa Cruz";"Rios Patagonicos";"36033.14";"-327.135.712.867.838"
"Cuenca de la falda oriental de Ambato";"Serrano";"9408.2";"-421.775.001.288.062"
"Cuenca de Pampa de las Salinas ";"Serrano";"23784.84";"-507.134.424.671.906"
"Cuenca del rio Abaucan";"Serrano";"43316.69";"-520.289.775.677.276"
"Cuenca del Salar de Pipanaco";"Serrano";"16989.83";"-510.512.856.360.439"
"Cuencas de Rio Conlara y de arroyos menores del norte de San Luis y oeste de Cordoba";"Serrano";"23092.67";"-253.989.230.815.967"
"Cuencas varias de las Salinas Grandes";"Serrano";"44281.08";"-449.347.268.858.269"
"Cuencas varias de Velazco";"Serrano";"18864.31";"-567.663.140.170.288"
"Cuenca de los lagos Buenos Aires - Pueyrredon";"Vertiente Pacifica";"8465.7";"-178.163.448.963.759"
"Cuenca de los rios Carrenleufu y Pico";"Vertiente Pacifica";"5530.56";"328.858.060.810.568"
"Cuenca de los rios Manso y Puelo";"Vertiente Pacifica";"5979.79";"900.434.745.267.787"
"Cuenca del lago Fagnano";"Vertiente Pacifica";"2892.39";"240.415.565.102.446"
"Cuenca del rio Futaleufu";"Vertiente Pacifica";"7270.06";"584.510.952.354.478"
"Cuenca del rio Hua-Hum";"Vertiente Pacifica";"1033.13";"12.458.329.764.454"
"Cuenca del rio Mayer y lago San Martin";"Vertiente Pacifica";"7132.32";"185.837.347.094.801"
"Cuenca del rio Simpson";"Vertiente Pacifica";"647.76";"254.948.209.529.447"
"Cuenca del rio Vizcachas";"Vertiente Pacifica";"1784.96";"-111.296.299.893.173"
