"cuenca";"sistema_hídrico";"superficie_en_km2";"poblacion";"densidad_hab_km2"
"Zona de rios y arroyos menores con vertiente atlantica del sudeste de Chubut y este de Santa Cruz";"Sistema Rios Patagonicos";"36033";"102363";"3"
"Cuencas de Rio Conlara y de arroyos menores del norte de San Luis y oeste de Cordoba";"Sistema Serrano";"23093";"158393";"7"
"Cuenca del rio Colorado";"Sistema Rio Colorado";"47377";"218367";"5"
"Cuencas de arroyos menores de Corrientes afluentes del rio Uruguay";"Sistema Rio Uruguay";"1215";"16212";"13"
"Cuenca propia del rio Parana hasta Confluencia";"Sistema Rio Parana";"2117";"47357";"22"
"Cuenca del rio Neuquen";"Sistema Rios Patagonicos";"49707";"326768";"7"
"Parte argentina de la cuenca del rio Iguazu";"Sistema Rio Parana";"1766";"31649";"18"
"Zona sin rios ni arroyos de importancia en Salta, Chaco, Santa Fe y Santiago del Estero";"Sistema Rio Parana";"98310";"823287";"8"
"Cuenca propia del rio Paraguay en Argentina";"Sistema Rio Paraguay";"2303";"34185";"15"
"Cuenca del rio Limay ";"Sistema Rios Patagonicos";"60516";"283547";"5"
"Cuenca de los rios Gallegos y Chico";"Sistema Rios Patagonicos";"9450";"31643";"3"
"Cuenca del rio Bermejo Medio e Inferior";"Sistema Rio Paraguay";"70603";"361122";"5"
"Cuenca del rio Chubut";"Sistema Rios Patagonicos";"52971";"68792";"1"
"Cuenca de los rios Senguerr y Chico";"Sistema Rios Patagonicos";"60744";"110963";"2"
"Cuenca del rio Feliciano";"Sistema Rio Parana";"8425";"63620";"8"
"Cuenca del rio Deseado";"Sistema Rios Patagonicos";"32073";"31220";"1"
"Cuenca del rio Pasaje o Salado";"Sistema Rio Parana";"93507";"768192";"8"
"Zona de canales al sur del rio Salado de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"41085";"340446";"8"
"Cuenca del rio Chico";"Sistema Rios Patagonicos";"25495";"8663";"0"
"Cuenca propia del rio Pepiri-Guazu en Argentina";"Sistema Rio Uruguay";"709";"6466";"9"
"Cuenca del rio Santa Cruz";"Sistema Rios Patagonicos";"29349";"13694";"0"
"Cuenca del rio Miriñay";"Sistema Rio Uruguay";"12936";"71035";"5"
"Cuenca del rio Coile o Coig";"Sistema Rios Patagonicos";"20597";"56965";"3"
"Cuenca del rio Salado de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"88093";"911013";"10"
"Cuencas varias de Tierra del Fuego";"Sistema Rios Patagonicos";"17496";"104989";"6"
"Cuenca de Pampa de las Salinas ";"Sistema Serrano";"23785";"45448";"2"
"Rios y arroyos menores con vertiente atlántica entre el sudoeste de Buenos Aires y el rio Chubut";"Sistema Rios Patagonicos";"109453";"313424";"3"
"Cuencas varias de las Salinas Grandes";"Sistema Serrano";"44281";"227039";"5"
"Cuenca del rio Hua-Hum";"Vertiente Pacifica";"1033";"5993";"6"
"Cuenca de los rios Rosario u Horcones y Urueña";"Sistema Mar Chiquita";"19251";"221310";"11"
"Zona de rios y arroyos en Salta y Formosa afluentes del rio Paraguay";"Sistema Rio Paraguay";"47022";"389688";"8"
"Cuenca de los rios Manso y Puelo";"Vertiente Pacifica";"5980";"95923";"16"
"Cuenca del rio Futaleufu";"Vertiente Pacifica";"7270";"26805";"4"
"Cuencas de rios y arroyos de la meseta patagonica";"Sistemas Independientes";"247341";"219117";"1"
"Cuenca de los rios Carrenleufu y Pico";"Vertiente Pacifica";"5531";"8407";"2"
"Cuenca del rio Guayquiraro";"Sistema Rio Parana";"9537";"53417";"6"
"Región sin drenaje superficial de San Luis, Cordoba, La Pampa y Buenos Aires";"Sistema Pampeano";"109594";"567101";"5"
"Cuenca de los lagos Buenos Aires - Pueyrredon";"Vertiente Pacifica";"8466";"2124";"0"
"Cuenca de arroyos de Misiones sbre el rio Parana hasta Posadas";"Sistema Rio Parana";"16153";"400562";"25"
"Cuenca propia de los bajos submeridionales";"Sistema Rio Parana";"62102";"300887";"5"
"Cuenca del rio Mayer y lago San Martin";"Vertiente Pacifica";"7132";"2358";"0"
"Cuencas menores de Corrientes afluentes del rio Uruguay";"Sistema Rio Uruguay";"6587";"45084";"7"
"Cuenca del rio Aguapey";"Sistema Rio Uruguay";"8073";"39580";"5"
"Region de medanos costeros sin drenaje definido del este de Buenos Aires";"Sistema Rio De La Plata Y Provincia De Buenos Aires Hasta El Rio Colorado";"392";"57242";"146"
"Cuenca del rio Simpson";"Vertiente Pacifica";"648";"163";"0"
"Cuenca del rio Corrientes";"Sistema Rio Parana";"27732";"176049";"6"
"Region lagunera del sudoeste de Buenos Aires";"Sistema Pampeano";"30112";"97123";"3"
"Cuenca del rio Vizcachas";"Vertiente Pacifica";"1785";"5690";"3"
"Cuenca del lago Fagnano";"Vertiente Pacifica";"2892";"17938";"6"
"Cuencas varias de la Puna";"Sistemas Independientes";"88651";"55061";"1"
"Cuenca del rio Sali-Dulce";"Sistema Mar Chiquita";"92809";"1959320";"21"
"Cuenca del Salar de Pipanaco";"Sistema Serrano";"16990";"39830";"2"
"Cuencas varias de Velazco";"Sistema Serrano";"18864";"83092";"4"
"Cuenca del rio Abaucan";"Sistema Serrano";"43317";"181551";"4"
"Cuenca de la laguna de Llancanelo";"Sistemas Independientes";"10563";"7801";"1"
"Cuencas varias de Antartida e Islas del Atlantico Sur, incluidas Malvinas Argentinas";"Antartida E Islas Del Atlantico Sur";"332832";"15";"0"
