departamento_nombre,coords,organic_carbon,ph,clay,silt,sand
Belgrano,"(-63.81863469005838, -31.910643976608256)",6.998245614035088,7.78144,22.675925925925927,51.44444444444444,26.074074074074073
Bella Vista,"(-58.92553320720725, -28.507356927927955)",4.0361111111111105,5.7657657657657655,18.65137614678899,17.394495412844037,64.11009174311927
Belén,"(-66.45972222, -26.39972222)",8.0,7.933333333333333,7.0,42.666666666666664,50.333333333333336
Bermejo,"(-61.76613280769229, -23.95158646153846)",8.688235294117646,6.961538461538462,25.307692307692307,37.80769230769231,37.0
Biedma,"(-65.45201909090909, -42.38754681818182)",5.281818181818182,7.7625,9.333333333333334,6.0,84.66666666666667
Bolívar,"(-61.59, -36.4)",1.0,8.15,9.5,9.5,81.0
Bragado,"(-60.54881245454546, -35.218236318181816)",8.227272727272727,6.898636363636364,21.055555555555557,29.333333333333332,49.833333333333336
Brandsen,"(-58.159286586206875, -35.339527724137945)",11.384,7.8999999999999995,32.07142857142857,49.67857142857143,18.642857142857142
Burruyacú,"(-64.5, -26.283333)",5.75,,28.5,36.25,35.5
Cainguás,"(-54.71941163636364, -27.10824309090909)",7.254545454545454,4.460909090909091,75.54545454545455,16.0,8.636363636363637
Calamuchita,"(-64.531875, -32.29545)",23.733333333333334,7.116666666666667,11.0,44.875,44.25
Caleu Caleu,"(-63.88470448543861, -38.75275799771933)",8.22962962962963,8.121081081081082,16.533333333333335,24.6,59.0
Calingasta,"(-69.48213333285713, -31.524399999999996)",3.7857142857142856,7.871428571428572,11.25,23.5,65.5
Candelaria,"(-55.75219092307694, -27.481151153846156)",8.453846153846154,4.493846153846154,46.5,23.416666666666668,30.083333333333332
Capayán,"(-65.62, -29.5)",1.6666666666666667,7.2,22.0,45.333333333333336,32.666666666666664
Capital,"(-61.45928630154752, -27.79206652976191)",6.935329341317366,6.226355140186916,20.59006211180124,30.453416149068325,49.08695652173913
Capitán Sarmiento,"(-59.882769732999996, -34.15669584950001)",8.8425,7.2,31.72222222222222,57.333333333333336,11.083333333333334
Carlos Casares,"(-61.047639, -35.758889)",5.5,9.0,,,
Carmen de Areco,"(-59.9100142894737, -34.401702157894725)",8.678807947019868,7.314473684210526,30.16,58.04666666666667,11.853333333333333
Caseros,"(-61.60967386814161, -33.14279163805309)",6.627027027027027,7.107407407407408,27.74074074074074,65.14814814814815,7.222222222222222
Castellanos,"(-61.70638617460316, -31.183212222222235)",5.819999999999999,7.327301587301587,30.383333333333333,64.51666666666667,5.183333333333334
Castelli,"(-57.839197091111096, -36.12718597777778)",11.61470588235294,7.788888888888889,30.066666666666666,31.244444444444444,38.86666666666667
Catriló,"(-63.46428557142858, -36.464285714285715)",5.985714285714286,,,,
Catán Lil,"(-70.2428572857143, -39.58095242857143)",5.883333333333333,,21.142857142857142,13.857142857142858,65.14285714285714
Caucete,"(-67.4185, -31.5503)",1.715384615384615,8.653846153846153,15.307692307692308,34.84615384615385,50.0
Cañuelas,"(-58.7, -35.016667)",6.625,9.075,30.75,50.25,19.25
Cerrillos,"(-65.42057670476188, -24.9155660464762)",9.175238095238095,5.05,28.409523809523808,43.40952380952381,29.03921568627451
Chacabuco,"(-61.40576648275851, -34.17867342528738)",9.575478927203065,7.025363984674329,22.49344978165939,53.51528384279476,24.12663755458515
Chalileo,"(-66.72121799974362, -36.2958191023077)",4.105128205128205,8.029642857142857,6.3125,14.0625,79.625
