layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
111363,Perfil 35158,110150,110,150,S/D,,0,,0,,,0,0,,0,
111364,Perfil 35159,30,0,30,S/D,,0,,6,,,6,16,,40,
111365,Perfil 35159,3065,30,65,S/D,,0,,7,,,6,15,,51,
111366,Perfil 35159,65100,65,100,S/D,,0,,0,,,0,0,,0,
111367,Perfil 35159,100130,100,130,S/D,,0,,0,,,0,0,,0,
111368,Perfil 35159,130150,130,150,S/D,,0,,0,,,0,0,,0,
111369,Perfil 35160,20,0,20,S/D,,0,,3,,,6,18,,32,
111370,Perfil 35160,2060,20,60,S/D,,0,,7,,,6,16,,44,
111371,Perfil 35160,60110,60,110,S/D,,0,,0,,,0,0,,0,
111372,Perfil 35160,110150,110,150,S/D,,0,,0,,,0,0,,0,
111373,Perfil 35161,25,0,25,S/D,,0,,7,,,6,18,,34,
111374,Perfil 35161,2570,25,70,S/D,,0,,12,,,6,14,,40,
111375,Perfil 35161,70125,70,125,S/D,,0,,0,,,0,0,,0,
111376,Perfil 35161,125150,125,150,S/D,,0,,0,,,0,0,,0,
111377,Perfil 35162,25,0,25,S/D,,0,,18,,,6,16,,35,
111378,Perfil 35162,2545,25,45,S/D,,0,,0,,,0,0,,0,
111379,Perfil 35162,4580,45,80,S/D,,0,,0,,,0,0,,0,
111380,Perfil 35162,80110,80,110,S/D,,0,,0,,,6,12,,34,
111381,Perfil 35162,110125,110,125,S/D,,0,,0,,,0,0,,0,
111382,Perfil 35163,20,0,20,S/D,,0,,4,,,5,14,,69,
111383,Perfil 35163,2040,20,40,S/D,,0,,5,,,6,8,,81,
111384,Perfil 35163,4070,40,70,S/D,,0,,0,,,6,8,,79,
111385,Perfil 35163,70125,70,125,S/D,,0,,0,,,0,0,,0,
111386,Perfil 35163,125150,125,150,S/D,,0,,0,,,0,0,,0,
111387,Perfil 35164,30,0,30,S/D,,0,,15,,,6,14,,50,
111388,Perfil 35164,3050,30,50,S/D,,0,,15,,,6,10,,63,
111389,Perfil 35164,5070,50,70,S/D,,0,,13,,,6,4,,75,
111390,Perfil 35164,7090,70,90,S/D,,0,,0,,,0,0,,0,
111391,Perfil 35164,90140,90,140,S/D,,0,,0,,,0,0,,0,
111392,Perfil 35165,20,0,20,S/D,,0,,18,,,6,14,,35,
111393,Perfil 35165,2030,20,30,S/D,,0,,0,,,0,0,,0,
111394,Perfil 35165,30135,30,135,S/D,,0,,0,,,6,14,,38,
111395,Perfil 35166,30,0,30,S/D,,0,,11,,,6,16,,42,
111396,Perfil 35166,3070,30,70,S/D,,0,,6,,,6,14,,48,
111397,Perfil 35166,70110,70,110,S/D,,0,,0,,,0,0,,0,
111398,Perfil 35166,110150,110,150,S/D,,0,,0,,,0,0,,0,
111399,Perfil 35167,23,0,23,S/D,,0,,7,,,6,24,,35,
111400,Perfil 35167,2350,23,50,S/D,,0,,12,,,6,16,,47,
111401,Perfil 35167,50100,50,100,S/D,,0,,0,,,0,0,,0,
111402,Perfil 35167,100150,100,150,S/D,,0,,0,,,0,0,,0,
111403,Perfil 35168,28,0,28,S/D,,0,,12,,,6,20,,41,
111404,Perfil 35168,2855,28,55,S/D,,0,,12,,,6,9,,65,
111405,Perfil 35168,55110,55,110,S/D,,0,,0,,,0,0,,0,
111406,Perfil 35168,110150,110,150,S/D,,0,,0,,,0,0,,0,
111407,Perfil 35169,55,0,55,S/D,,0,,18,,,6,22,,45,
