,cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha,coords,organic_carbon,ph,clay,silt,sand
12,Girasol,1983,25 de Mayo,21000.0,21000.0,23100.0,1100.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
13,Girasol,1983,25 de Mayo,1100.0,1100.0,990.0,900.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
14,Limón,1983,25 de Mayo,7.0,3.0,36.0,12000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
15,Lino,1983,25 de Mayo,5400.0,5000.0,5000.0,1000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
16,Mandarina,1983,25 de Mayo,51.0,37.0,518.0,14000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
17,Maní,1983,25 de Mayo,11.0,11.0,9.0,818.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
18,Maíz,1983,25 de Mayo,25000.0,23500.0,84600.0,3600.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
19,Maíz,1983,25 de Mayo,600.0,600.0,834.0,1390.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
20,Maíz,1983,25 de Mayo,2600.0,2600.0,3000.0,1154.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
21,Maíz,1983,25 de Mayo,300.0,266.0,500.0,1880.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
22,Mijo,1983,25 de Mayo,3200.0,2900.0,4660.0,1607.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
23,Naranja,1983,25 de Mayo,109.0,109.0,290.0,2661.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
24,Papa total,1983,25 de Mayo,50.0,50.0,1240.0,24800.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
25,Papa total,1983,25 de Mayo,20.0,20.0,190.0,9500.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
26,Pomelo,1983,25 de Mayo,10.0,10.0,95.0,9500.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
27,Poroto seco,1983,25 de Mayo,500.0,500.0,450.0,900.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
28,Soja total,1983,25 de Mayo,4100.0,4100.0,6900.0,1683.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
29,Soja total,1983,25 de Mayo,5400.0,5400.0,9600.0,1778.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
30,Sorgo,1983,25 de Mayo,4000.0,4000.0,14400.0,3600.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
